epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0762,1.60448,2.39562,1.22887,1,0.03166,0.23298,0.1267,1.64521,2.54993,1.16742,0.00048,0.00048,0.00048
2,28.8887,1.8267,1.70471,1.31657,0.7506,0.1198,0.23101,0.11473,1.8682,2.18983,1.31896,0.00088298,0.00088298,0.00088298
3,42.7635,1.77784,1.64145,1.32534,0.59157,0.22886,0.29157,0.1303,1.769,2.04496,1.40941,0.00118696,0.00118696,0.00118696
4,56.3545,1.79127,1.59398,1.353,0.34374,0.16915,0.17313,0.07975,2.15975,2.55632,1.8493,0.00139194,0.00139194,0.00139194
5,69.405,1.78563,1.60968,1.35765,0.34397,0.25373,0.20603,0.10549,2.04899,2.26397,1.61355,0.001208,0.001208,0.001208
6,83.1879,1.82471,1.64271,1.35995,0.4367,0.27363,0.23364,0.10486,1.98358,2.2001,1.54182,0.00101,0.00101,0.00101
7,96.3524,1.70247,1.53979,1.32343,0.53506,0.29851,0.31407,0.16255,1.90742,2.07055,1.54121,0.000812,0.000812,0.000812
8,110.299,1.63991,1.49887,1.3059,0.58343,0.31343,0.3522,0.194,1.9061,1.79422,1.55061,0.000614,0.000614,0.000614
9,123.391,1.63495,1.43837,1.27993,0.53002,0.36318,0.37475,0.2033,1.88688,1.62338,1.46147,0.000416,0.000416,0.000416
10,136.313,1.53522,1.40026,1.2204,0.55192,0.36768,0.37999,0.20414,1.8086,1.58057,1.39955,0.000218,0.000218,0.000218
